Type,Matter #,Name,Budget Category
MUR,3781,"UNIVERSITY OF OSTEOPATHIC MEDICINE AND HEALTH SCIENCES OF DES MOINES, IOWA",Legacy Data
MUR,3780,UNITED WE STAND AMERICA--SANTA BARBRA,Legacy Data
MUR,3779,PEROT '92 (FKA PEROT PETITION COMMITTEE),Legacy Data
MUR,3778,MARY ROSE OAKER FOR CONGRESS COMMITTEE,Legacy Data
MUR,3777,COMMITTEE TO ELECT DR. JAMES LEWIS TO CONGRESS,Legacy Data
MUR,3776,KFI AM RADIO AND DEMOCRATIC STATE CENTRAL COMMITTEE OF CALIFORNIA,Legacy Data
MUR,3775,TILMAN WHEELER LAW FIRM,Legacy Data
MUR,3774,NRSC,External Enforcement
MUR,3773,DELOITTE & TOUCHE FEDERAL PAC,Legacy Data
MUR,3772,BARBARA BOXER FOR U.S. SENATE,Legacy Data
MUR,3771,FRIENDS OF CORRINE BROWN,External Enforcement - (PFESP)
MUR,3770,UPS PAC AND UNITED PARCEL SERVICE,Legacy Data
MUR,3769,ANTHONY FOR CONGRESS,Legacy Data
MUR,3768,ROWLAND FOR CONGRESS RE-ELECTION COMMITTEE,Legacy Data
MUR,3767,CITIZENS FOR HAGGERTY,Legacy Data
MUR,3766,1992 DEMOCRATIC NATIONAL CONVENTION COMMITTEE,Legacy Data
MUR,3764,"KASTEN FOR SENATE COMMITTEE, INC.",Legacy Data
MUR,3763,PEROT '92,Legacy Data
MUR,3762,FRIENDS OF BLACKSTOCK FOR CONGRESS,Legacy Data
MUR,3761,RE-ELECT MARILYN LLOYD TO CONGRESS COMMITTEE,Legacy Data
MUR,3760,NATIONAL BEER WHOLESALERS ASSOCIATION PAC,Legacy Data
MUR,3759,JULIA HUGHES JONES U.S. SENATE COMMITTEE,Legacy Data
MUR,3758,ROBERT KRUEGER AND TEXANS FOR TSONGAS,Legacy Data
MUR,3757,HUFFINGTON FOR CONGRESS,Legacy Data
MUR,3756,INDIANA PLANNED PARENTHOOD AFFILIATES ASSOCIATION INC.,Legacy Data
MUR,3755,JERRY HUCKABY RE-ELECTION COMMITTEE,Legacy Data
MUR,3754,MISSISSIPPI DEMOCRATIC CAUCUS PAC,Legacy Data
MUR,3753,ZENKICH FOR CONGRESS COMMITTEE,Legacy Data
MUR,3752,COMMITTEE TO ELECT TONY VALENCIA,Legacy Data
MUR,3751,FRIENDS OF CORRINE BROWN,External Enforcement - (PFESP)
MUR,3750,FRIENDS OF CORRINE BROWN,External Enforcement - (PFESP)
MUR,3749,FRIENDS OF BOB KRUEGER,Legacy Data
MUR,3748,ROSS PEROT PETITION COMMITTEE,Legacy Data
MUR,3747,JOHN KYL RE-ELECTION COMMITTEE,Legacy Data
MUR,3746,HILLIARD FOR CONGRESS,Legacy Data
MUR,3745,CITIZENS FOR NEUMANN '93,External Enforcement
MUR,3744,MARY DENT CRISP and NATIONAL COALITION FOR CHOICE,Legacy Data
MUR,3743,FRIENDS OF DAN MILLER,Legacy Data
MUR,3742,RHEA JEZER FOR CONGRESS,Legacy Data
MUR,3741,PEROT '92,Legacy Data
MUR,3740,ROSTENKOWSKI FOR CONGRESS,Legacy Data
MUR,3739,BOB KRUEGER CAMPAIGN,Legacy Data
MUR,3738,FRIENDS OF MARK SINGEL COMMITTEE,Legacy Data
MUR,3737,AUCTION MARKETS PAC OF THE CHICAGO BOARD OF TRADE,Legacy Data
MUR,3736,BROWN FOR PRESIDENT,Legacy Data
MUR,3735,JOHN JONES FOR CONGRESS COMMITTEE,Legacy Data
MUR,3734,PEROT '92,Legacy Data
MUR,3733,JUAN SOLIZ FOR CONGRESS,Legacy Data
MUR,3732,"SERVICE EMPLOYEES INTERNATIONAL UNION  COPE, POLITICAL CAMPAIGN COMMITTEE",Legacy Data
MUR,3731,COMMITTEE TO ELECT TONY VALENCIA FOR CONGRESS,External Enforcement
MUR,3730,KNOX FOR U.S. SENATE,Legacy Data
MUR,3729,FRIENDS OF CLIFF STEARNS,Legacy Data
MUR,3728,NEVADA STATE DEMOCRATIC PARTY,Legacy Data
MUR,3727,COMMITTEE TO ELECT DEMAR DAHL TO THE UNITED STATES SENATE,External Enforcement
MUR,3726,PEROT '92,Legacy Data
MUR,3725,DEMOCRATIC PARTY OF HAWAII FEDERAL CAMPAIGN COMMITTEE,Legacy Data
MUR,3724,DAVE EMERY FOR CONGRESS,Legacy Data
MUR,3723,PUBLIC CITIZEN INC.,Legacy Data
MUR,3722,PHOENIX FIREFIGHTERS LOCAL 493 FIREPAC,Legacy Data
MUR,3721,PEROT `92,Legacy Data
MUR,3720,BUCK MCKEON FOR CONGRESS COMMITTEE,External Enforcement
MUR,3719,THE IDEA CENTER,Legacy Data
MUR,3718,SIERRA CLUB,Legacy Data
MUR,3717,INTEGRA PAC,Legacy Data
MUR,3716,ALABAMA DEMOCRATIC CONFERENCE/SHELBY FOR U.S. SENATE COMMITTEE,Legacy Data
MUR,3715,CLINTON FOR PRESIDENT COMMITTEE,External Enforcement - Presidential (PFESP)
MUR,3714,PENNSYLVANIA ASSOCIATION OF BROADCASTERS,Legacy Data
MUR,3713,LEAGUE OF WOMEN VOTERS OF PENNSYLVANIA,Legacy Data
MUR,3712,GUERNSEY-MUSKINGHAM ACTION COALITION,Legacy Data
MUR,3711,GWEN MARGOLIS CAMPAIGN FUND,Legacy Data
MUR,3710,CITIZENS FOR ARLEN SPECTER,Legacy Data
MUR,3709,LYNN YEAKEL FOR U.S. SENATE COMMITTEE,Legacy Data
MUR,3708,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Legacy Data
MUR,3706,LYNN YEAKEL FOR U.S. SENATE COMMITTEE,Legacy Data
MUR,3705,JIMMY HAYES FOR CONGRESS,Legacy Data
MUR,3704,FRIENDS OF PEG LAUTENSCHLAGER,Legacy Data
MUR,3703,DON PAYNE FOR CONGRESS,Legacy Data
MUR,3702,SUN CITY PRODUCTIONS/CHIP TABERSKI FOR U.S. CONGRESS,Legacy Data
MUR,3700,NRCC and HOOSIERS FOR DICK MURDOCK,External Enforcement
MUR,3699,MONROE COUNTY DEMOCRATIC EXECUTIVE COMMITTEE,Legacy Data
MUR,3698,NATIONAL RIGHT TO LIFE PAC,Legacy Data
MUR,3697,COMMITTEE TO ELECT DON NELMS,Legacy Data
MUR,3696,MADGA MONTEIL DAVIS FOR CONGRESS,Legacy Data
MUR,3695,MAGDA MONTEIL DAVIS FOR CONGRESS,Legacy Data
MUR,3694,HOOSIERS FOR HOGSETT COMMITTEE,Legacy Data
MUR,3693,MEL RYNOLDS FOR CONGRESS COMMITTEE/MEL REYNOLDS,Legacy Data
MUR,3692,JIM WARREN/ JUDY EATON/ PENINSULA CITIZENS' ADVOCATE,Legacy Data
MUR,3691,STOKES FOR CONGRESS,Legacy Data
MUR,3690,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE,External Enforcement
MUR,3689,TED STRICKLAND FOR CONGRESS,Legacy Data
MUR,3688,NEVADA STATE REPUBLICAN CAMPAIGN COMMITTEE,Legacy Data
MUR,3687,BRIDGETON AIR DEFENSE,External Enforcement
MUR,3686,MAVROULES FOR CONGRESS COMMITTEE,Legacy Data
MUR,3685,THE IDEA CENTER,Legacy Data
MUR,3684,MINNESOTA CITIZENS CONCERNED FOR LIFE COMMITTEE,Legacy Data
MUR,3683,NRA POLITICAL VICTORY FUND,Legacy Data
MUR,3682,FOX FOR CONGRESS COMMITTEE and JEWISH EXPONENT,Legacy Data
MUR,3681,COMMITTEE TO RE-ELECT THOMAS E. SCOTT,External Enforcement
MUR,3680,COMMITTEE TO ELECT DAN HAMBURG U.S. SENATE,Legacy Data
MUR,3679,PEROT PETITION COMMITTEE,Legacy Data
MUR,3678,CLYDE EVANS AND EVANS CABINET CORPORATION,Legacy Data
MUR,3677,CITIZENS FOR ARLEN SPECTER,Legacy Data
MUR,3676,CLINTON/GORE '92 COMMITTEE INC.,Legacy Data
MUR,3675,HOLEKAMP FOR A NEW CONGRESS,External Enforcement
MUR,3673,DNC AND THE NATIONAL RAINBOW COALITION,Legacy Data
MUR,3672,"BUSH-QUALYLE '92 PRIMARY COMMITTEE AND CHERRY COMMUNICATION, INC.",Legacy Data
MUR,3671,PEOPLE FOR PATTY MURRAY U.S. SENATE CAMPAIGN,Legacy Data
MUR,3667,STAND UP AMERICA,Legacy Data
MUR,3666,FRIENDS OF OF JENNIFER DUNN,Legacy Data
MUR,3665,THE DAILY TRIBUNE AND AMES LEAGUE OF WOMEN VOTERS,Legacy Data
MUR,3664,"BUSH/QUAYLE '92 GENERAL COMMITTEE., INC.",External Enforcement - Presidential (PFESP)
MUR,3663,DICK RUTAN FOR AMERICA '92 COMMITTEE,Legacy Data
MUR,3662,DICK ARMEY CAMPAIGN COMMITTEE,Legacy Data
MUR,3660,FLOWER AND GARDEN MAGAZINE,Legacy Data
MUR,3659,JOHN D. DINGELL FOR CONGRESS COMMITTEE,Legacy Data
MUR,3657,MULTIMEDIA CABLEVISION AND GLICKMAN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3656,DR. DAVID DAVIS FOR CONGRESS,Legacy Data
MUR,3655,FOX FOR CONGRESS COMMITTEE AND JEWISH EXPONENT,Legacy Data
MUR,3654,LAUGHLIN FOR CONGRESS '88,Legacy Data
MUR,3653,STEVE LEWIS FOR U.S. SENATE,Legacy Data
MUR,3652,COMMITTEE FOR CONGRESSMAN CHARLIE ROSE,External Enforcement
MUR,3651,PETE SFERRAZZA FOR CONGRESS COMMITTEE,External Enforcement
MUR,3650,MARY ROSE OAKAR FOR CONGRESS COMMITTEE,Legacy Data
MUR,3649,TOM VISCONTI FOR CONGRESS COMMITTEE,Legacy Data
MUR,3648,IRISH NATIONAL CAUCUS PAC,Legacy Data
MUR,3647,DAN SOSA FOR CONGRESS COMMITTEE,Legacy Data
MUR,3646,SANGMEISTER FOR CONGRESS,Legacy Data
MUR,3645,CLAIRE SARGENT FOR U.S. SENATE AND PHOENIX MAGAZINE,Legacy Data
MUR,3644,NEW ALLIANCE PARTY AND LENORA B. FULANI,Legacy Data
MUR,3643,JIM TOMLIN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3642,LOWNDES FOR CONGRESS AND ST. ROSE OF LIMA CHURCH,Legacy Data
MUR,3641,WHATCOM COUNTY YOUNG REPUBLICANS,Legacy Data
MUR,3640,BUSH-QUAYLE '92 GENERAL COMMITTEE INC.,Legacy Data
MUR,3639,CALIFORNIA REPUBLICAN PARTY,Legacy Data
MUR,3638,"RESPONSE DYNAMICS, INC.",Legacy Data
MUR,3637,KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,Legacy Data
MUR,3636,MAC COLLINS FOR CONGRESS AND COLLINS TRUCKING INC.,Legacy Data
MUR,3635,KENTUCKY STATE DEMOCRATIC CENTRAL EXECUTIVE COMMITTEE,Legacy Data
MUR,3634,MAGDA MONTEIL DAVIS FOR CONGRESS,Legacy Data
MUR,3633,LOUIS STOKES FOR CONGRESS,Legacy Data
MUR,3632,"KIMCO INDUSTIRES, INC. AND BROWN FOR PRESIDENT",Legacy Data
MUR,3631,TEXANS FOR HENRY BONILLA '94,Legacy Data
MUR,3629,LES AUCOIN FOR SENATE COMMITTEE,Legacy Data
MUR,3628,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC",Legacy Data
MUR,3627,ROSS THE BOSS COMMITTEE,Legacy Data
MUR,3626,TIM HOLDEN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3625,BUCK MCKEON FOR CONGRESS AND VALENCIA NATIONAL BANK,Legacy Data
MUR,3624,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC",Legacy Data
MUR,3623,LOBIONDO COMMITTEE TO CHANGE CONGRESS,Legacy Data
MUR,3622,CLINTON/GORE '92 COMMITTEE,External Enforcement
MUR,3621,PETTYJOHN FOR CONGRESS,Legacy Data
MUR,3620,FEINSTEIN FOR U.S. SENATE,Legacy Data
MUR,3619,HOOSIERS FOR TIM ROEMER,Legacy Data
MUR,3618,TGI FRIDAY'S INC. EMPLOYEES PAC,Legacy Data
MUR,3616,NITA LOWEY FOR CONGRESS,Legacy Data
MUR,3615,CLINTON FOR PRESIDENT COMMITTEE and WJXT-TV,Administrative Termination
MUR,3614,SELLERS FOR U.S. SENATE COMMITTEE,External Enforcement
MUR,3613,JUDE FOR CONGRESS,External Enforcement
MUR,3611,RON DELUGO CONGRESSIONAL COMMITTEE,Legacy Data
MUR,3610,SANGMEISTER FOR CONGRESS,Legacy Data
MUR,3609,JUDY JARVIS FOR CONGRESS,Legacy Data
MUR,3608,BUSH-QUAYLE '92 GENERAL COMMITTEE INC.,Legacy Data
MUR,3607,KASTEN FOR SENATE COMMITTEE,Legacy Data
MUR,3606,ALLEGIANCE OF REPUBLICAN AMERICANS,Legacy Data
MUR,3605,COMMITTEE TO ELECT ANDY JOHNSON,Legacy Data
MUR,3604,ALAN SCHLESINGER,Legacy Data
MUR,3603,BILL POLITO FOR CONGRESS COMMITTEE,Legacy Data
MUR,3602,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC",Legacy Data
MUR,3601,BENNETT FOR SENATE,Legacy Data
MUR,3600,NATIONAL CONGRESSIONAL CLUB,Legacy Data
MUR,3599,FRIENDS OF JIM MOODY,Legacy Data
MUR,3598,DANNER FOR CONGRESS,Legacy Data
MUR,3597,KETCHEL FOR CONGRESS '92,Legacy Data
MUR,3596,CLINTON FOR PRESIDENT/MONROE COUNTY,Legacy Data
MUR,3595,CARPENTERS LEGISLATIVE IMPROVEMENT COMMITTEE,Legacy Data
MUR,3594,CITIZENS FOR DAVE LIONETT,Legacy Data
MUR,3593,RICK REED FOR U.S. SENATE,Legacy Data
MUR,3592,MORAN FOR CONGRESS '94,Legacy Data
MUR,3591,GARY NELSON FOR CONGRESS,External Enforcement
MUR,3590,DEMOCRATIC PARTY OF VIRGINIA,Legacy Data
MUR,3589,JOBS WITH PEACE,Legacy Data
MUR,3588,LES AUCOIN FOR SENATE COMMITTEE,Legacy Data
MUR,3587,ROSS PEROT/PEROT PETITION COMMITTEE,Legacy Data
MUR,3586,DEMOCRATIC STATE CENTRAL COMMITTEE OF CALIFORNIA - FEDERAL,External Enforcement - (PFESP)
MUR,3585,A. NICHOLAS RIZZO AND TSONGAS COMMITTEE,Internal Enforcement - Title 26 Audit Referral (PFESP)
MUR,3584,DICK KEMPTHORNE SENATE '92,Legacy Data
MUR,3583,BRING BACK BATES,External Enforcement
MUR,3582,CAROL MOSELY BRAUN FOR SENATE COMMITTEE,External Enforcement - (PFESP)
MUR,3581,TONY MEEKER FOR CONGRESS COMMITTEE,Legacy Data
MUR,3580,FRIENDS OF ESTHER LEE YAO,Legacy Data
MUR,3579,"CONCERNED VOTERS, INC.",Legacy Data
MUR,3578,REPUBLICAN CHALLENGERS COMMITTEE,Legacy Data
MUR,3577,"FRED PHELPS, SR.",Legacy Data
MUR,3576,LINDA BEAN FOR CONGRESS,Legacy Data
MUR,3575,GLORIA O'DELL FOR SENATE,Legacy Data
MUR,3574,FRIENDS OF BYRON DORGAN,Legacy Data
MUR,3573,CHARLES A. FORREST III,Legacy Data
MUR,3571,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC.",External Enforcement - Presidential (PFESP)
MUR,3570,DUMP D'AMATO IN '92 COMMITTEE,Legacy Data
MUR,3568,PEROT PETITION COMMITTEE,Legacy Data
MUR,3567,LILY CHEN FOR CONGRESS,Legacy Data
MUR,3566,JUDD GREGG FOR U.S. SENATE COMMITTEE,Legacy Data
MUR,3565,MCCORD FOR CONGRESS,Legacy Data
MUR,3564,ERWIN FOR CONGRESS '92,Legacy Data
MUR,3563,DOUG SMITH FOR CONGRESS,Legacy Data
MUR,3562,DUKAKIS FOR PRESIDENT,Legacy Data
MUR,3561,UNITED MINE WORKERS OF AMERICA COAL MINERS PAC,Legacy Data
MUR,3560,CITIZENS FOR RON KLINK,Legacy Data
MUR,3559,SANDOVAL FOR CONGRESS,Legacy Data
MUR,3558,LOUIS STOKES AND STOKES FOR CONGRESS COMMITTEE,Legacy Data
MUR,3557,USA TODAY AND NBC NEWS,Legacy Data
MUR,3556,NATIONAL SECURITY PAC,Legacy Data
MUR,3555,ALAN KEYES FOR U.S. SENATE,Legacy Data
MUR,3554,COMMITTEE FOR THE RIGHT TO KEEP AND BEAR ARMS,Legacy Data
MUR,3553,CONNECTICUT REPUBLICAN FEDERAL CAMPAIGN COMMITTEE,Legacy Data
MUR,3552,BEN REYES FOR CONGRESS COMMITTEE,Legacy Data
MUR,3551,COMMITTEE TO ELECT BEA HERBERT,Legacy Data
MUR,3550,ANDY SCHLAFLY FOR CONGRESS COMMITTEE,Legacy Data
MUR,3549,ELWOOD BROAD,Legacy Data
MUR,3548,RHODE ISLAND REPUBLICAN STATE CENTRAL COMMITTEE,Legacy Data
MUR,3547,DEMOCRATIC PARTY OF ARKANSAS FEDERAL ACCOUNT,Legacy Data
MUR,3546,CLINTON FOR PRESIDENT COMMITTEE,External Enforcement
MUR,3545,COMMITTEE TO ELECT MEGAN O'NEILL,Legacy Data
MUR,3544,FAYE WILLIAMS FOR CONGRESS,Legacy Data
MUR,3543,FRIENDS OF BOB GRAHAM COMMITTEE,Legacy Data
MUR,3542,BUFFA FOR CONGRESS '92,Legacy Data
MUR,3541,TIPPINS DEVELOPMENT LTD.,Legacy Data
MUR,3540,PRUDENTIAL SECURITIES INC.,Legacy Data
MUR,3539,LAUTENBERG COMMITTEE,Legacy Data
MUR,3537,BOB HAMMOCK FOR CONGRESS AND PHOENIX PRESS,Legacy Data
MUR,3536,WILLIAM J. MCCUEN/PERSONS UNKNOWN,Legacy Data
MUR,3534,CLINTON FOR PRESIDENT AND BIBLEWAY CHURCH OF ATLAS ROAD,External Enforcement
MUR,3532,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC",Legacy Data
MUR,3531,SENATOR CHAFEE COMMITTEE,Legacy Data
MUR,3530,ASTLE FOR CONGRESS,Legacy Data
MUR,3529,DEDDEH FOR CONGRESS,Legacy Data
MUR,3525,MCCUEN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3524,OREGON REPUBLICAN PARTY,Legacy Data
MUR,3523,CALIFORNIA PRO-LIFE COUNCIL INC. PAC,Legacy Data
MUR,3522,"THE CATERERS, INC.",Legacy Data
MUR,3521,GLORIA OCHOA FOR CONGRESS,Legacy Data
MUR,3520,THE PRESIDENT'S DINNER (AKA 1991 REPUBLICAN SENATE HOUSE DINNER COMMITTEE),Legacy Data
MUR,3519,TOM MINS FOR CONGRESS CAMPAIGN COMMITTEE,Legacy Data
MUR,3518,NATIONAL ALBANIAN AMERICAN PAC,Legacy Data
MUR,3517,TEAMSTERS LOCAL 959 ALASKA LABOR INDEPENDENT VOTER EDUCATION,Legacy Data
MUR,3516,NATIONAL FREEDOM PAC,Internal Enforcement - Title 2 Audit Referral (PFESP)
MUR,3515,VOLUNTEERS FOR SHIMKUS COMMITTEE,Legacy Data
MUR,3514,CHANDLER '92,Legacy Data
MUR,3513,INDIANA DEMOCRATIC CONGRESSIONAL VICTORY COMMITTEE,Legacy Data
MUR,3512,BRUNO'S GOOD GOVERNMENT LEAGUE,Legacy Data
MUR,3511,MIKE VEON FOR CONGRESS,External Enforcement
MUR,3510,FRIENDS OF SILJANDER,Legacy Data
MUR,3508,NEW ENTERPRISE STONE AND LIME,Legacy Data
MUR,3507,THOMAS LINGENFELTER AND BROWN FOR PRESIDENT,Legacy Data
MUR,3506,BROWN FOR PRESIDENT and CITY OF NEW YORK,External Enforcement
MUR,3505,RON CLINK & WESTINGHOUSE BROADCASTING COMPANY,Legacy Data
MUR,3504,INDEPENDENT REPUBLICANS OF MINNESOTA,Legacy Data
MUR,3503,PEROT PETITION COMMITTEE,Legacy Data
MUR,3502,CALIFORNIA DEMOCRATIC VOTER CHECKLIST,Legacy Data
MUR,3501,POPULIST PARTY OF AMERICA,Legacy Data
MUR,3500,BROWN FOR PRESIDENT,Legacy Data
MUR,3499,DOUG BARNARD FOR CONGRESS,Legacy Data
MUR,3496,ENRON PAC,Legacy Data
MUR,3495,SIMON FOR SENATE,Legacy Data
MUR,3494,MCGOWN FOR CONGRESS,Legacy Data
MUR,3493,COMMUNIST PARTY (USA) AND GUS HALL,Legacy Data
MUR,3492,JESSE JACKSON FOR PRESIDENT,Legacy Data
MUR,3491,CITIZENS FOR CHRISTOPHER HODGKINS,Legacy Data
MUR,3490,CITIZENS FOR ARLEN SPECTER,Legacy Data
MUR,3489,FREIND FOR SENATE,Legacy Data
MUR,3488,DEMBROW FOR CONGRESS COMMITTEE,Legacy Data
MUR,3487,DAVID DUKE FOR PRESIDENT,Legacy Data
MUR,3486,GENERAL ELECTRIC COMPANY,Legacy Data
MUR,3485,AMERICANS FOR ROBERTSON,Legacy Data
MUR,3484,DICK KEMPTHORNE SENATE '92,Legacy Data
MUR,3483,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC",Legacy Data
MUR,3482,CALIFORNIA AVOCADO PROPONENT,Legacy Data
MUR,3481,COMMUNIST PARTY (USA) AND GUS HALL,Legacy Data
MUR,3480,AMERICAN FEDERATION OF TEACHERS,Legacy Data
MUR,3479,LIPINSKI FOR CONGRESS,Legacy Data
MUR,3478,ARIZONA RIGHT TO LIFE PAC,Legacy Data
MUR,3477,DOO FOR CONGRESS,Legacy Data
MUR,3476,DEMOCRATIC CAMPAIGN COMMITTEE OF ST. LOUIS CITY,Legacy Data
MUR,3474,U.S. SENATOR JOHN SEYMOUR COMMITTEE,Legacy Data
MUR,3473,"LYNDON LAROUCHE, ET AL",Legacy Data
MUR,3472,PEOPLE FOR BOSCHWITZ 1990,Legacy Data
MUR,3471,HARVEY GANTT FOR SENATE COMMITTEE,Legacy Data
MUR,3470,PETE PETERSON CAMPAIGN FUND,Legacy Data
MUR,3469,"BUSH-QUAYLE '92 PRIMARY COMMITTEE, INC",Legacy Data
MUR,3468,BOB ALLEN FOR CONGRESS AND STANLEY TATE BUILDERS,Legacy Data
MUR,3467,GEORGE BUSH FOR PRESIDENT,Legacy Data
MUR,3466,JOHN SEYMOUR COMMITTEE,Legacy Data
MUR,3465,COMMITTEE TO ELECT BRADLEY,Legacy Data
MUR,3464,DAN BRANCH FOR CONGRESS,Legacy Data
MUR,3463,DURKIN FOR U.S. SENATE,Legacy Data
MUR,3462,PILZER FOR CONGRESS,Legacy Data
MUR,3461,LONSDALE FOR SENATE '90,Legacy Data
MUR,3460,"SPORTS SHINKO CO., LTD",Legacy Data
MUR,3459,QUILLEN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3458,THE WILSON COMMITTEE,Legacy Data
MUR,3457,PRO-HISPANIC PAC,Legacy Data
MUR,3456,WILLIAM and KELLY LERACH,Legacy Data
MUR,3455,"WAFFLE HOUSE, INC.",Legacy Data
MUR,3454,AL BROWN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3452,DURANT FOR U.S. SENATE,Legacy Data
MUR,3451,MARROU FOR PRESIDENT,Legacy Data
MUR,3450,"WINCO, INC.",Legacy Data
MUR,3449,DUKAKIS BENTSEN COMMITTEE,Legacy Data
MUR,3448,LAIDLAW ENVIRONMENTAL SERVICES,Legacy Data
MUR,3447,DAN COATS FOR SENATE COMMITTEE aka DAN COATS FOR INDIANA,Legacy Data
MUR,3446,GERMANIA BANK FSB,Legacy Data
MUR,3445,FRANK RIGGS FOR CONGRESS COMMITTEE,Legacy Data
MUR,3444,RICK MONTOYA FOR UNITED STATES SENATE,Legacy Data
MUR,3443,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Legacy Data
MUR,3442,NRA INSTITUTE FOR LEGISLATIVE ACTION,Legacy Data
MUR,3441,NEW JERSEY DEMOCRATIC STATE COMMITTEE,Legacy Data
MUR,3440,JOSEPH A. CANNON,Legacy Data
MUR,3439,COMMITTEE TO RE-ELECT CONGRESSMAN STUDDS,Legacy Data
MUR,3438,CONGRESSMAN GERRY E. STUDDS/STUDDS FOR CONGRESS,Legacy Data
MUR,3437,THE GUAM TRIBUNE/FRIENDS OF CONGRESSMAN BEN BLAZ,Legacy Data
MUR,3436,DYMALLY CAMPAIGN COMMITTEE,Legacy Data
MUR,3435,THORNBURGH FOR SENATE COMMITTEE,Legacy Data
MUR,3434,ANITA FOR CONGRESS,Legacy Data
MUR,3433,FRIENDS OF SAM JOHNSON,Legacy Data
MUR,3432,PAUKEN FOR CONGRESS COMMITTEE,Legacy Data
MUR,3431,A WHOLE LOT OF FOLKS FOR PAT WILLIAMS,Legacy Data
MUR,3430,JOHN T. WRZESINSKI FOR CONGRESS,Legacy Data
MUR,3429,NITA LOWEY FOR CONGRESS,Legacy Data
MUR,3428,THORNBURGH FOR SENATE COMMITTEE,Legacy Data
MUR,3427,PETER H. KOSTMAYER and the  BANK OF THE U.S. HOUSE OF REPRESENTATIVES,Legacy Data
MUR,3426,MURRAY FOR CONGRESS and THE THIRD NATIONAL BANK OF SANDUSKY,Legacy Data
MUR,3425,COVERDELL SENATE COMMITTEE,Legacy Data
MUR,3424,PEOPLE FOR CARLOS LUCERO,Legacy Data
MUR,3423,COMMITTEE TO ELECT JOHN RAUGH,Legacy Data
MUR,3422,TAYLOR FOR CONGRESS,Legacy Data
MUR,3421,NATIONAL REPUBLICAN SENATORIAL COMMITTEE,Legacy Data
MUR,3420,CITIZENS FOR JOHN WOFFORD,Legacy Data
MUR,3419,NEW HAMPSHIRE STATE DEMOCRATIC COMMITTEE,Legacy Data
MUR,3418,FRIENDS OF JOHN GLENN / JOHN GLENN PRESIDENTIAL COMMITTEE,Legacy Data
MUR,3417,WINE AND SPIRITS WHOLESALERS OF AMERICA PAC,Legacy Data
MUR,3416,VOTE CHOICE,Legacy Data
MUR,3415,UNITED EGG ASSOCIATION PAC,Legacy Data
MUR,3414,UNC INCORPORATED PUBLIC RESPONSIBILITYFUND,Legacy Data
MUR,3413,"TELE-COMMUNICATIONS, INC. PAC",Legacy Data
MUR,3412,STERLPAC--STERLING DRUG INC. POLITICAL ACTION COMMITTEE FOR IMPROVED GOVERNMENT,Legacy Data
MUR,3411,PUBLIC SECURITIES ASSOCIATION POLITICAL ACTION COMMITTEE,Legacy Data
MUR,3410,POLITICAL PARTICIPATION FUND OF CONTINENTAL ILLINOIS CORPORATION,Legacy Data
MUR,3409,PIPEFITTERS LOCAL UNION NO. 274 PAC,Legacy Data
MUR,3408,PFIZER PAC,Legacy Data
MUR,3407,PELICAN PAC,Legacy Data
MUR,3406,NATIONAL PORK PRODUCERS COUNCIL PORK PAC,Legacy Data
MUR,3405,KOREAN AMERICAN NATIONAL PAC,Legacy Data
MUR,3404,HOLLYWOOD WOMEN'S POLITICAL COMMITTEE,Legacy Data
MUR,3403,HEALTHTRUST INC. --THE HOSPITAL COMPANY PAC,Legacy Data
MUR,3402,HARRIS CORPORATION FEDERAL PAC,Legacy Data
MUR,3401,ZACOPAC,Legacy Data
MUR,3400,NATIONAL COUNCIL OF SENIOR CITIZENS PAC,Legacy Data
MUR,3399,NATIONAL ASSOCIATION OF TRADE AND TECHNICAL SCHOOLS PAC,Legacy Data
MUR,3398,NATIONAL ASSOCIATION OF FEDERAL CREDIT UNIONS PAC,Legacy Data
MUR,3397,LOUISIANA COALITION AGAINST RACISM AND NAZISM PAC INC.,Legacy Data
MUR,3396,KUTAK ROCK AND CAMPBELL PAC,Legacy Data
MUR,3395,FIRST INTERSTATE BANK OF CALIFORNIA PAC,Legacy Data
MUR,3394,FIRST CHICAGO CORPORATE GOVERNMENT AFFAIRS,Legacy Data
MUR,3393,DSC COMMUNICATIONS CORPORATION PAC,Legacy Data
MUR,3392,COMPUTER SCIENCES CORPORATION PAC,Legacy Data
